token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
16062,734RJ33-SG,734RJ33,,-1.000000,100,,NSE,1.000000
16261,743MZ36-SG,743MZ36,,-1.000000,100,,NSE,1.000000
1630,IONEXCHANG-EQ,IONEXCHANG,,-1.000000,1,,NSE,5.000000
16274,732TN53-SG,732TN53,,-1.000000,100,,NSE,1.000000
16290,737AP33-SG,737AP33,,-1.000000,100,,NSE,1.000000
16364,736HR33-SG,736HR33,,-1.000000,100,,NSE,1.000000
166,ANDHRAPAP-EQ,ANDHRAPAP,,-1.000000,1,,NSE,1.000000
16379,736WB43-SG,736WB43,,-1.000000,100,,NSE,1.000000
16648,732HR33-SG,732HR33,,-1.000000,100,,NSE,1.000000
16650,737JK38-SG,737JK38,,-1.000000,100,,NSE,1.000000
16654,733AP43-SG,733AP43,,-1.000000,100,,NSE,1.000000
16655,729KL51-SG,729KL51,,-1.000000,100,,NSE,1.000000
16657,ANIKINDS-EQ,ANIKINDS,,-1.000000,1,,NSE,1.000000
16795,ARCHIDPLY-EQ,ARCHIDPLY,,-1.000000,1,,NSE,1.000000
16913,ARTEMISMED-EQ,ARTEMISMED,,-1.000000,1,,NSE,1.000000
16928,739TN33A-SG,739TN33A,,-1.000000,100,,NSE,1.000000
16987,743AP39-SG,743AP39,,-1.000000,100,,NSE,1.000000
16993,742AP43-SG,742AP43,,-1.000000,100,,NSE,1.000000
16998,739KL52-SG,739KL52,,-1.000000,100,,NSE,1.000000
17032,THYROCARE-EQ,THYROCARE,,-1.000000,1,,NSE,10.000000
17115,743TS50-SG,743TS50,,-1.000000,100,,NSE,1.000000
17117,745AS33-SG,745AS33,,-1.000000,100,,NSE,1.000000
173,673SK30-SG,673SK30,,-1.000000,100,,NSE,1.000000
17159,875SFL27-ZF,875SFL27,,-1.000000,1,,NSE,1.000000
17186,SHRIPISTON-EQ,SHRIPISTON,,-1.000000,1,,NSE,10.000000
17271,SENCO-EQ,SENCO,,-1.000000,1,,NSE,5.000000
1730,664PY32-SG,664PY32,,-1.000000,100,,NSE,1.000000
17313,LLOYDSME-EQ,LLOYDSME,,-1.000000,1,,NSE,10.000000
17322,737BR30-SG,737BR30,,-1.000000,100,,NSE,1.000000
17323,735TN33A-SG,735TN33A,,-1.000000,100,,NSE,1.000000
17397,PREMEXPLN-EQ,PREMEXPLN,,-1.000000,1,,NSE,5.000000
17398,718GS2037-GS,718GS2037,,-1.000000,1,,NSE,1.000000
17433,NETWEB-EQ,NETWEB,,-1.000000,1,,NSE,10.000000
17458,741MN35-SG,741MN35,,-1.000000,100,,NSE,1.000000
17459,736KL41-SG,736KL41,,-1.000000,100,,NSE,1.000000
17461,736WB41-SG,736WB41,,-1.000000,100,,NSE,1.000000
17531,MAHASTEEL-BE,MAHASTEEL,,-1.000000,1,,NSE,5.000000
17542,1015SCL28B-AZ,1015SCL28B,,-1.000000,1,,NSE,1.000000
17547,AMRUTANJAN-EQ,AMRUTANJAN,,-1.000000,1,,NSE,5.000000
1758,868NHB29-N3,868NHB29,,-1.000000,1,,NSE,1.000000
17637,745TS30A-SG,745TS30A,,-1.000000,100,,NSE,1.000000
17641,SUNTECK-EQ,SUNTECK,,-1.000000,1,,NSE,5.000000
17672,744JK53-SG,744JK53,,-1.000000,100,,NSE,1.000000
17695,VIJIFIN-BE,VIJIFIN,,-1.000000,1,,NSE,1.000000
17752,SHILPAMED-EQ,SHILPAMED,,-1.000000,1,,NSE,5.000000
17758,SARDAEN-EQ,SARDAEN,,-1.000000,1,,NSE,5.000000
17866,10NIDO26-N6,10NIDO26,,-1.000000,1,,NSE,1.000000
17875,GODREJPROP-EQ,GODREJPROP,,-1.000000,1,,NSE,10.000000
17888,GATECH-EQ,GATECH,,-1.000000,1,,NSE,1.000000
17939,HINDCOPPER-EQ,HINDCOPPER,,-1.000000,1,,NSE,5.000000
17958,84CIFCL28-NA,84CIFCL28,,-1.000000,1,,NSE,1.000000
17986,PGIMCSA2D-MF,PGIMCSA2D,,-1.000000,1,,NSE,1.000000
18007,BPF02D3D-MF,BPF02D3D,,-1.000000,1,,NSE,1.000000
18012,VLEGOV-EQ,VLEGOV,,-1.000000,1,,NSE,1.000000
18049,MINDTECK-EQ,MINDTECK,,-1.000000,1,,NSE,5.000000
1814,KPIL-EQ,KPIL,,-1.000000,1,,NSE,10.000000
18095,BPF02RDR-MF,BPF02RDR,,-1.000000,1,,NSE,1.000000
18105,745JK53-SG,745JK53,,-1.000000,100,,NSE,1.000000
18142,EMMBI-EQ,EMMBI,,-1.000000,1,,NSE,1.000000
18151,TVSSCS-EQ,TVSSCS,,-1.000000,1,,NSE,1.000000
18154,HATHWAY-EQ,HATHWAY,,-1.000000,1,,NSE,1.000000
18163,BPF02RWR-MF,BPF02RWR,,-1.000000,1,,NSE,1.000000
18165,BPF01D1R-MF,BPF01D1R,,-1.000000,1,,NSE,1.000000
18170,BPF01MDD-MF,BPF01MDD,,-1.000000,1,,NSE,1.000000
18179,FICRF3GP-MF,FICRF3GP,,-1.000000,1,,NSE,1.000000
18185,HFMPCC50DD-MF,HFMPCC50DD,,-1.000000,1,,NSE,1.000000
182,678KA32-SG,678KA32,,-1.000000,100,,NSE,1.000000
1826,KAMATHOTEL-EQ,KAMATHOTEL,,-1.000000,1,,NSE,5.000000
18221,746MZ39-SG,746MZ39,,-1.000000,100,,NSE,1.000000
18284,HNGSNGBEES-EQ,HNGSNGBEES,,-1.000000,1,,NSE,1.000000
18335,741RJ39-SG,741RJ39,,-1.000000,100,,NSE,1.000000
18336,74KL41-SG,74KL41,,-1.000000,100,,NSE,1.000000
18400,744AP33-SG,744AP33,,-1.000000,100,,NSE,1.000000
18401,747AS33-SG,747AS33,,-1.000000,100,,NSE,1.000000
18408,744RJ36-SG,744RJ36,,-1.000000,100,,NSE,1.000000
18431,BIGBLOC-EQ,BIGBLOC,,-1.000000,1,,NSE,1.000000
18473,CAGL26-NA,CAGL26,,-1.000000,1,,NSE,1.000000
18485,CAGL27-NC,CAGL27,,-1.000000,1,,NSE,1.000000
18487,970CAGL28-ND,970CAGL28,,-1.000000,1,,NSE,1.000000
18593,EMSLIMITED-EQ,EMSLIMITED,,-1.000000,1,,NSE,5.000000
18630,SCLZC26-NB,SCLZC26,,-1.000000,1,,NSE,1.000000
18649,HOLMARC-SM,HOLMARC,,-1.000000,750,,NSE,5.000000
18659,MARATHON-EQ,MARATHON,,-1.000000,1,,NSE,5.000000
18689,747CG30-SG,747CG30,,-1.000000,100,,NSE,1.000000
1871,665AP41-SG,665AP41,,-1.000000,100,,NSE,1.000000
18762,AURDIS-SM,AURDIS,,-1.000000,625,,NSE,5.000000
19,STYRENIX-EQ,STYRENIX,,-1.000000,1,,NSE,10.000000
18962,RAJRATAN-EQ,RAJRATAN,,-1.000000,1,,NSE,5.000000
18973,619GS2034-GS,619GS2034,,-1.000000,1,,NSE,1.000000
19000,744WB42-SG,744WB42,,-1.000000,100,,NSE,1.000000
19011,MASTER-SM,MASTER,,-1.000000,500,,NSE,5.000000
19015,MVGJL-EQ,MVGJL,,-1.000000,1,,NSE,1.000000
19112,SAAKSHI-ST,SAAKSHI,,-1.000000,600,,NSE,5.000000
19104,ROLLT-EQ,ROLLT,,-1.000000,1,,NSE,1.000000
19138,DIGIKORE-SM,DIGIKORE,,-1.000000,400,,NSE,5.000000
19184,SFL-EQ,SFL,,-1.000000,1,,NSE,5.000000
192,875NHAI29-N6,875NHAI29,,-1.000000,1,,NSE,1.000000
19185,755TS32-SG,755TS32,,-1.000000,100,,NSE,1.000000
19205,HEADSUP-EQ,HEADSUP,,-1.000000,1,,NSE,1.000000
19218,VALIANTLAB-EQ,VALIANTLAB,,-1.000000,1,,NSE,1.000000
1923,WEALTH-EQ,WEALTH,,-1.000000,1,,NSE,10.000000
19223,TCIEXP-EQ,TCIEXP,,-1.000000,1,,NSE,5.000000
19253,ARABIAN-SM,ARABIAN,,-1.000000,2000,,NSE,5.000000
1936,582BR26-SG,582BR26,,-1.000000,100,,NSE,1.000000
19322,HISARMETAL-EQ,HISARMETAL,,-1.000000,1,,NSE,1.000000
19456,SGBSEP31II-GB,SGBSEP31II,,-1.000000,1,,NSE,1.000000
1950,66KA37-SG,66KA37,,-1.000000,100,,NSE,1.000000
19481,77GA33-SG,77GA33,,-1.000000,100,,NSE,1.000000
19485,769UP35A-SG,769UP35A,,-1.000000,100,,NSE,1.000000
19492,PLADAINFO-SM,PLADAINFO,,-1.000000,3000,,NSE,5.000000
1959,662TS41-SG,662TS41,,-1.000000,100,,NSE,1.000000
19531,BAJAJCON-EQ,BAJAJCON,,-1.000000,1,,NSE,5.000000
19617,771RJ33-SG,771RJ33,,-1.000000,100,,NSE,1.000000
19619,768MP34-SG,768MP34,,-1.000000,100,,NSE,1.000000
19620,772AP36-SG,772AP36,,-1.000000,100,,NSE,1.000000
19623,76JK53-SG,76JK53,,-1.000000,100,,NSE,1.000000
19640,ALPHAETF-EQ,ALPHAETF,,-1.000000,1,,NSE,1.000000
19717,773GA33-SG,773GA33,,-1.000000,100,,NSE,1.000000
19720,777PN33-SG,777PN33,,-1.000000,100,,NSE,1.000000
19760,990SCL26-N7,990SCL26,,-1.000000,1,,NSE,1.000000
19804,WELINV-BE,WELINV,,-1.000000,1,,NSE,10.000000
19899,77MH34-SG,77MH34,,-1.000000,100,,NSE,1.000000
20077,INTENTECH-BE,INTENTECH,,-1.000000,1,,NSE,1.000000
20019,714AP34-SG,714AP34,,-1.000000,100,,NSE,1.000000
20020,718AP33-SG,718AP33,,-1.000000,100,,NSE,1.000000
20028,892PFCL33-N8,892PFCL33,,-1.000000,1,,NSE,1.000000
20086,CPCAP-EQ,CPCAP,,-1.000000,1,,NSE,1.000000
20100,711AS30-SG,711AS30,,-1.000000,100,,NSE,1.000000
20141,BABAFP-SM,BABAFP,,-1.000000,1600,,NSE,5.000000
20148,69GA30-SG,69GA30,,-1.000000,100,,NSE,1.000000
2022,663WB31-SG,663WB31,,-1.000000,100,,NSE,1.000000
20171,77GA33B-SG,77GA33B,,-1.000000,100,,NSE,1.000000
20350,773KA34-SG,773KA34,,-1.000000,100,,NSE,1.000000
20351,775UP34-SG,775UP34,,-1.000000,100,,NSE,1.000000
20358,720AS30-SG,720AS30,,-1.000000,100,,NSE,1.000000
20360,779PN37-SG,779PN37,,-1.000000,100,,NSE,1.000000
20364,771KL43-SG,771KL43,,-1.000000,100,,NSE,1.000000
20367,758GJ26-SG,758GJ26,,-1.000000,100,,NSE,1.000000
2048,INDIGOPNTS-EQ,INDIGOPNTS,,-1.000000,1,,NSE,5.000000
20394,774RJ33A-SG,774RJ33A,,-1.000000,100,,NSE,1.000000
20396,772KA35-SG,772KA35,,-1.000000,100,,NSE,1.000000
20429,NACLIND-BE,NACLIND,,-1.000000,1,,NSE,1.000000
20498,PRESSTONIC-SM,PRESSTONIC,,-1.000000,800,,NSE,5.000000
20518,720AR30-SG,720AR30,,-1.000000,100,,NSE,1.000000
20575,721AP31-SG,721AP31,,-1.000000,100,,NSE,1.000000
20595,813ABHF28-N3,813ABHF28,,-1.000000,1,,NSE,1.000000
20689,852LTF27-NG,852LTF27,,-1.000000,1,,NSE,1.000000
20691,87LTF27-NH,87LTF27,,-1.000000,1,,NSE,1.000000
2077,685GA31-SG,685GA31,,-1.000000,100,,NSE,1.000000
20735,762UP34-SG,762UP34,,-1.000000,100,,NSE,1.000000
20794,SUMEETINDS-BE,SUMEETINDS,,-1.000000,1,,NSE,1.000000
20796,707JK30-SG,707JK30,,-1.000000,100,,NSE,1.000000
2086,689AP35-SG,689AP35,,-1.000000,100,,NSE,1.000000
20817,IRBINVIT-IV,IRBINVIT,,-1.000000,1,,NSE,1.000000
20878,MUFTI-EQ,MUFTI,,-1.000000,1,,NSE,1.000000
2089,688RJ46-SG,688RJ46,,-1.000000,100,,NSE,1.000000
20905,AZAD-EQ,AZAD,,-1.000000,1,,NSE,10.000000
20899,EFORCE-SM,EFORCE,,-1.000000,1200,,NSE,5.000000
2095,686TS41-SG,686TS41,,-1.000000,100,,NSE,1.000000
20916,722GA29-SG,722GA29,,-1.000000,100,,NSE,1.000000
20942,767RJ33-SG,767RJ33,,-1.000000,100,,NSE,1.000000
20968,925SCL25H-Y0,925SCL25H,,-1.000000,1,,NSE,1.000000
20972,888SCL25B-Y2,888SCL25B,,-1.000000,1,,NSE,1.000000
20995,990SCL26B-Y7,990SCL26B,,-1.000000,1,,NSE,1.000000
21001,PSB-EQ,PSB,,-1.000000,1,,NSE,1.000000
21040,641GA30-SG,641GA30,,-1.000000,100,,NSE,1.000000
